VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	159939700
Shares Outstanding: 523706000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Synchrony Financial,SYF,0.0502%
PerkinElmer Inc,PKI,0.05%
IDEX Corp,IEX,0.05%
Tyler Technologies Inc,TYL,0.0499%
FMC Corp,FMC,0.0497%
Cardinal Health Inc,CAH,0.0497%
Genuine Parts Co,GPC,0.0496%
Hormel Foods Corp,HRL,0.0496%
Duke Realty Corp,DRE,0.0494%
Brown-Forman Corp,BF.B,0.0493%
Nucor Corp,NUE,0.0486%
Ingersoll Rand Inc,IR,0.0484%
Mid-America Apartment Communities Inc,MAA,0.0483%
Teradyne Inc,TER,0.0481%
International Flavors & Fragrances Inc,IFF,0.0477%
Darden Restaurants Inc,DRI,0.0475%
Hartford Financial Services Group Inc,HIG,0.0474%
J M Smucker Co,SJM,0.0474%
Essex Property Trust Inc,ESS,0.0471%
Ulta Beauty Inc,ULTA,0.0467%
Alliant Energy Corp,LNT,0.0462%
Celanese Corp,CE,0.0462%
Tiffany & Co,TIF,0.0458%
United Rentals Inc,URI,0.0456%
Jack Henry & Associates Inc,JKHY,0.0446%
NortonLifeLock Inc,NLOK,0.0445%
Expedia Group Inc,EXPE,0.0445%
Leidos Holdings Inc,LDOS,0.0439%
Pultegroup Inc,PHM,0.0439%
Jacobs Engineering Group Inc,J,0.0438%
Hewlett Packard Enterprise Co,HPE,0.0436%
SVB Financial Group,SIVB,0.0435%
AES Corp,AES,0.0434%
Western Digital Corp,WDC,0.0433%
Waters Corp,WAT,0.0431%
ONEOK Inc,OKE,0.043%
ABIOMED Inc,ABMD,0.0428%
Fortune Brands Home & Security Inc,FBHS,0.0424%
Atmos Energy Corp,ATO,0.0423%
Cincinnati Financial Corp,CINF,0.0418%
M&T Bank Corp,MTB,0.0418%
KeyCorp,KEY,0.0418%
Evergy Inc,EVRG,0.0414%
Royal Caribbean Cruises Ltd,RCL,0.0413%
Arista Networks Inc,ANET,0.0413%
Boston Properties Inc,BXP,0.041%
Gartner Inc,IT,0.041%
Teledyne Technologies Inc,TDY,0.0409%
Seagate Technology PLC,STX,0.0407%
Hess Corp,HES,0.0405%
Bio Rad Laboratories Inc,BIO,0.0405%
Whirlpool Corp,WHR,0.0402%
Westinghouse Air Brake Technologies Corp,WAB,0.0401%
Regions Financial Corp,RF,0.0395%
E*Trade Financial Corp,ETFC,0.0391%
J B Hunt Transport Services Inc,JBHT,0.0387%
Halliburton Co,HAL,0.0384%
Citizens Financial Group Inc,CFG,0.0383%
Advance Auto Parts Inc,AAP,0.0378%
Omnicom Group Inc,OMC,0.0377%
CenterPoint Energy Inc,CNP,0.0376%
Avery Dennison Corp,AVY,0.0375%
Eastman Chemical Co,EMN,0.0374%
Principal Financial Group Inc,PFG,0.0373%
Hasbro Inc,HAS,0.0372%
Packaging Corp of America,PKG,0.037%
Centurylink Inc,LUMN,0.0365%
United Airlines Holdings Inc,UAL,0.0362%
Campbell Soup Co,CPB,0.0352%
NetApp Inc,NTAP,0.0351%
UDR Inc,UDR,0.0347%
Fox Corp,FOXA,0.0346%
Lamb Weston Holdings Inc,LW,0.0342%
Cboe Global Markets Inc,CBOE,0.0341%
DENTSPLY SIRONA Inc,XRAY,0.0336%
Huntington Bancshares Inc,HBAN,0.0333%
Albemarle Corp,ALB,0.033%
Allegion PLC,ALLE,0.0325%
Western Union Co,WU,0.0325%
Westrock Co,WRK,0.0323%
Raymond James Financial Inc,RJF,0.0322%
MGM Resorts International,MGM,0.0321%
Concho Resources Inc,CXO,0.0314%
Baker Hughes Co,BKR,0.0311%
W. R. Berkley Corp,WRB,0.0311%
NiSource Inc,NI,0.0305%
Textron Inc,TXT,0.0303%
Occidental Petroleum Corp,OXY,0.0302%
Henry Schein Inc,HSIC,0.0299%
Pinnacle West Capital Corp,PNW,0.0298%
Loews Corp,L,0.0296%
Rollins Inc,ROL,0.0293%
Everest Re Group Ltd,RE,0.0288%
Snap-On Inc,SNA,0.0286%
Borgwarner Inc,BWA,0.0284%
Carnival Corp,CCL,0.0282%
Universal Health Services Inc,UHS,0.0282%
Iron Mountain Inc,IRM,0.028%
Globe Life Inc,GL,0.0279%
LKQ Corp,LKQ,0.0279%
F5 Networks Inc,FFIV,0.0276%
Pentair PLC,PNR,0.0276%
Host Hotels & Resorts Inc,HST,0.0274%
Mylan NV,MYL,0.0273%
Live Nation Entertainment Inc,LYV,0.0272%
DISH Network Corp,DISH,0.0264%
Juniper Networks Inc,JNPR,0.0263%
Quanta Services Inc,PWR,0.0262%
NRG Energy Inc,NRG,0.0261%
A. O. Smith Corp,AOS,0.026%
L Brands Inc,LB,0.0258%
News Corp,NWSA,0.0257%
Cabot Oil & Gas Corp,COG,0.0254%
Assurant Inc,AIZ,0.0253%
Wynn Resorts Ltd,WYNN,0.0251%
Howmet Aerospace Inc,HWM,0.0245%
Interpublic Group of Companies Inc,IPG,0.0235%
Newell Brands Inc,NWL,0.0233%
DaVita Inc,DVA,0.0231%
CF Industries Holdings Inc,CF,0.0231%
Cash Component,CASH,0.023%
Molson Coors Beverage Co,TAP,0.0228%
Perrigo Company PLC,PRGO,0.0227%
American Airlines Group Inc,AAL,0.0226%
Mosaic Co,MOS,0.0224%
Robert Half International Inc,RHI,0.022%
IPG Photonics Corp,IPGP,0.022%
Discovery Inc,DISCK,0.0219%
Regency Centers Corp,REG,0.0218%
Mohawk Industries Inc,MHK,0.0214%
Sealed Air Corp,SEE,0.0213%
Lincoln National Corp,LNC,0.0203%
Huntington Ingalls Industries Inc,HII,0.0203%
Leggett & Platt Inc,LEG,0.0197%
HanesBrands Inc,HBI,0.0194%
Franklin Resources Inc,BEN,0.0194%
Vornado Realty Trust,VNO,0.019%
Comerica Inc,CMA,0.0188%
Federal Realty Investment Trust,FRT,0.0182%
Nielsen Holdings PLC,NLSN,0.0182%
Diamondback Energy Inc,FANG,0.018%
Apartment Investment and Management Co,AIV,0.0179%
Kimco Realty Corp,KIM,0.0177%
Zions Bancorporation NA,ZION,0.0171%
FLIR Systems Inc,FLIR,0.0168%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0165%
Alaska Air Group Inc,ALK,0.0163%
DXC Technology Co,DXC,0.0162%
Fox Corp,FOX,0.0157%
People's United Financial Inc,PBCT,0.0156%
Invesco Ltd,IVZ,0.0156%
Tapestry Inc,TPR,0.0154%
