VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	161857601
Shares Outstanding: 957228000
Expense Ratio: 0.03%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Valero Energy Corp,VLO,0.0562%
Ameriprise Financial Inc,AMP,0.056%
Sarepta Therapeutics Inc,SRPT,0.056%
Trade Desk Inc,TTD,0.056%
Las Vegas Sands Corp,LVS,0.0558%
Epam Systems Inc,EPAM,0.0558%
Wayfair Inc,W,0.0558%
CrowdStrike Holdings Inc,CRWD,0.0556%
Edison International,EIX,0.0555%
Immunomedics Inc,IMMU,0.0555%
Simon Property Group Inc,SPG,0.0553%
KKR & Co Inc,KKR,0.0552%
Horizon Therapeutics PLC,HZNP,0.0545%
Delta Air Lines Inc,DAL,0.0545%
Marketaxess Holdings Inc,MKTX,0.0545%
Five9 Inc,FIVN,0.0541%
CDW Corp,CDW,0.0538%
First Republic Bank,FRC,0.0535%
Akamai Technologies Inc,AKAM,0.0533%
Tyler Technologies Inc,TYL,0.0533%
Alnylam Pharmaceuticals Inc,ALNY,0.0532%
Synchrony Financial,SYF,0.0529%
Tyson Foods Inc,TSN,0.0527%
Tractor Supply Co,TSCO,0.0525%
Kellogg Co,K,0.0522%
W W Grainger Inc,GWW,0.0521%
LyondellBasell Industries NV,LYB,0.052%
Dell Technologies Inc,DELL,0.0518%
Teladoc Health Inc,TDOC,0.0514%
TransUnion,TRU,0.051%
Fox Corp,FOX,0.0507%
Concho Resources Inc,CXO,0.0507%
Paycom Software Inc,PAYC,0.0503%
Discover Financial Services,DFS,0.0503%
Vulcan Materials Co,VMC,0.0502%
Invitation Homes Inc,INVH,0.0502%
Expeditors International of Washington Inc,EXPD,0.0499%
Teleflex Inc,TFX,0.0496%
Xylem Inc,XYL,0.0495%
Ventas Inc,VTR,0.0491%
Evergy Inc,EVRG,0.0489%
Varian Medical Systems Inc,VAR,0.0488%
Kansas City Southern,KSU,0.0486%
Northern Trust Corp,NTRS,0.0486%
Keurig Dr Pepper Inc,KDP,0.0484%
Carmax Inc,KMX,0.0484%
ViacomCBS Inc,VIAC,0.048%
SS&C Technologies Holdings Inc,SSNC,0.0479%
Citrix Systems Inc,CTXS,0.0478%
Broadridge Financial Solutions Inc,BR,0.0475%
NVR Inc,NVR,0.0473%
Interpublic Group of Companies Inc,IPG,0.0469%
Generac Holdings Inc,GNRC,0.0467%
Quest Diagnostics Inc,DGX,0.0464%
Pioneer Natural Resources Co,PXD,0.046%
CMS Energy Corp,CMS,0.0459%
Biomarin Pharmaceutical Inc,BMRN,0.0458%
Fortinet Inc,FTNT,0.0457%
Incyte Corp,INCY,0.0455%
Hologic Inc,HOLX,0.0454%
Insulet Corp,PODD,0.0453%
Domino's Pizza Inc,DPZ,0.0451%
ETSY Inc,ETSY,0.0445%
CBRE Group Inc,CBRE,0.0443%
Qorvo Inc,QRVO,0.0441%
Conagra Brands Inc,CAG,0.0441%
FirstEnergy Corp,FE,0.044%
Teradyne Inc,TER,0.0439%
Steris plc,STE,0.0439%
Cardinal Health Inc,CAH,0.0438%
Martin Marietta Materials Inc,MLM,0.0437%
Fifth Third Bancorp,FITB,0.0436%
Datadog Inc,DDOG,0.0436%
WP Carey Inc,WPC,0.0435%
Draftkings Inc,DKNG,0.0435%
Nucor Corp,NUE,0.0434%
PG&E Corp,PCG,0.0433%
International Paper Co,IP,0.0429%
Zebra Technologies Corp,ZBRA,0.0429%
Republic Services Inc,RSG,0.0428%
Exact Sciences Corp,EXAS,0.0428%
Carvana Co,CVNA,0.0428%
Burlington Stores Inc,BURL,0.0424%
Healthpeak Properties Inc,PEAK,0.0421%
