,Holding,Symbol,Weighting,Fund
3513,Qorvo Inc,QRVO,0.0548%,VOO
3514,Steris plc,STE,0.0543%,VOO
3515,Fifth Third Bancorp,FITB,0.0542%,VOO
3516,ETSY Inc,ETSY,0.0533%,VOO
3517,Masco Corp,MAS,0.0529%,VOO
3518,Healthpeak Properties Inc,PEAK,0.0528%,VOO
3519,Amerisourcebergen Corp,ABC,0.0516%,VOO
3520,Martin Marietta Materials Inc,MLM,0.0514%,VOO
3521,Garmin Ltd,GRMN,0.051%,VOO
3522,Nasdaq Inc,NDAQ,0.0509%,VOO
3523,Zebra Technologies Corp,ZBRA,0.0509%,VOO
3524,Pioneer Natural Resources Co,PXD,0.0509%,VOO
3525,Extra Space Storage Inc,EXR,0.0506%,VOO
3526,CH Robinson Worldwide Inc,CHRW,0.0503%,VOO
3527,Catalent Inc,CTLT,0.0502%,VOO
3528,Synchrony Financial,SYF,0.0502%,VOO
3529,PerkinElmer Inc,PKI,0.05%,VOO
3530,IDEX Corp,IEX,0.05%,VOO
3531,Tyler Technologies Inc,TYL,0.0499%,VOO
3532,FMC Corp,FMC,0.0497%,VOO
3533,Cardinal Health Inc,CAH,0.0497%,VOO
3534,Genuine Parts Co,GPC,0.0496%,VOO
3535,Hormel Foods Corp,HRL,0.0496%,VOO
3536,Duke Realty Corp,DRE,0.0494%,VOO
3537,Brown-Forman Corp,BF.B,0.0493%,VOO
3538,Nucor Corp,NUE,0.0486%,VOO
3539,Ingersoll Rand Inc,IR,0.0484%,VOO
3540,Mid-America Apartment Communities Inc,MAA,0.0483%,VOO
3541,Teradyne Inc,TER,0.0481%,VOO
3542,International Flavors & Fragrances Inc,IFF,0.0477%,VOO
3543,Darden Restaurants Inc,DRI,0.0475%,VOO
3544,Hartford Financial Services Group Inc,HIG,0.0474%,VOO
3545,J M Smucker Co,SJM,0.0474%,VOO
3546,Essex Property Trust Inc,ESS,0.0471%,VOO
3547,Ulta Beauty Inc,ULTA,0.0467%,VOO
3548,Alliant Energy Corp,LNT,0.0462%,VOO
3549,Celanese Corp,CE,0.0462%,VOO
3550,Tiffany & Co,TIF,0.0458%,VOO
3551,United Rentals Inc,URI,0.0456%,VOO
3552,Jack Henry & Associates Inc,JKHY,0.0446%,VOO
3553,NortonLifeLock Inc,NLOK,0.0445%,VOO
3554,Expedia Group Inc,EXPE,0.0445%,VOO
3555,Leidos Holdings Inc,LDOS,0.0439%,VOO
3556,Pultegroup Inc,PHM,0.0439%,VOO
3557,Jacobs Engineering Group Inc,J,0.0438%,VOO
3558,Hewlett Packard Enterprise Co,HPE,0.0436%,VOO
3559,SVB Financial Group,SIVB,0.0435%,VOO
3560,AES Corp,AES,0.0434%,VOO
3561,Western Digital Corp,WDC,0.0433%,VOO
3562,Waters Corp,WAT,0.0431%,VOO
3563,ONEOK Inc,OKE,0.043%,VOO
3564,ABIOMED Inc,ABMD,0.0428%,VOO
3565,Fortune Brands Home & Security Inc,FBHS,0.0424%,VOO
3566,Atmos Energy Corp,ATO,0.0423%,VOO
3567,Cincinnati Financial Corp,CINF,0.0418%,VOO
3568,M&T Bank Corp,MTB,0.0418%,VOO
3569,KeyCorp,KEY,0.0418%,VOO
3570,Evergy Inc,EVRG,0.0414%,VOO
3571,Royal Caribbean Cruises Ltd,RCL,0.0413%,VOO
3572,Arista Networks Inc,ANET,0.0413%,VOO
3573,Boston Properties Inc,BXP,0.041%,VOO
3574,Gartner Inc,IT,0.041%,VOO
3575,Teledyne Technologies Inc,TDY,0.0409%,VOO
3576,Seagate Technology PLC,STX,0.0407%,VOO
3577,Hess Corp,HES,0.0405%,VOO
3578,Bio Rad Laboratories Inc,BIO,0.0405%,VOO
3579,Whirlpool Corp,WHR,0.0402%,VOO
3580,Westinghouse Air Brake Technologies Corp,WAB,0.0401%,VOO
3581,Regions Financial Corp,RF,0.0395%,VOO
3582,E*Trade Financial Corp,ETFC,0.0391%,VOO
3583,J B Hunt Transport Services Inc,JBHT,0.0387%,VOO
3584,Halliburton Co,HAL,0.0384%,VOO
3585,Citizens Financial Group Inc,CFG,0.0383%,VOO
3586,Advance Auto Parts Inc,AAP,0.0378%,VOO
3587,Omnicom Group Inc,OMC,0.0377%,VOO
3588,CenterPoint Energy Inc,CNP,0.0376%,VOO
3589,Avery Dennison Corp,AVY,0.0375%,VOO
3590,Eastman Chemical Co,EMN,0.0374%,VOO
3591,Principal Financial Group Inc,PFG,0.0373%,VOO
3592,Hasbro Inc,HAS,0.0372%,VOO
3593,Packaging Corp of America,PKG,0.037%,VOO
3594,Centurylink Inc,LUMN,0.0365%,VOO
3595,United Airlines Holdings Inc,UAL,0.0362%,VOO
3596,Campbell Soup Co,CPB,0.0352%,VOO
3597,NetApp Inc,NTAP,0.0351%,VOO
3598,UDR Inc,UDR,0.0347%,VOO
3599,Fox Corp,FOXA,0.0346%,VOO
3600,Lamb Weston Holdings Inc,LW,0.0342%,VOO
3601,Cboe Global Markets Inc,CBOE,0.0341%,VOO
3602,DENTSPLY SIRONA Inc,XRAY,0.0336%,VOO
3603,Huntington Bancshares Inc,HBAN,0.0333%,VOO
3604,Albemarle Corp,ALB,0.033%,VOO
3605,Allegion PLC,ALLE,0.0325%,VOO
3606,Western Union Co,WU,0.0325%,VOO
3607,Westrock Co,WRK,0.0323%,VOO
3608,Raymond James Financial Inc,RJF,0.0322%,VOO
3609,MGM Resorts International,MGM,0.0321%,VOO
3610,Concho Resources Inc,CXO,0.0314%,VOO
3611,Baker Hughes Co,BKR,0.0311%,VOO
3612,W. R. Berkley Corp,WRB,0.0311%,VOO
3613,NiSource Inc,NI,0.0305%,VOO
3614,Textron Inc,TXT,0.0303%,VOO
3615,Occidental Petroleum Corp,OXY,0.0302%,VOO
3616,Henry Schein Inc,HSIC,0.0299%,VOO
3617,Pinnacle West Capital Corp,PNW,0.0298%,VOO
3618,Loews Corp,L,0.0296%,VOO
3619,Rollins Inc,ROL,0.0293%,VOO
3620,Everest Re Group Ltd,RE,0.0288%,VOO
3621,Snap-On Inc,SNA,0.0286%,VOO
3622,Borgwarner Inc,BWA,0.0284%,VOO
3623,Carnival Corp,CCL,0.0282%,VOO
3624,Universal Health Services Inc,UHS,0.0282%,VOO
3625,Iron Mountain Inc,IRM,0.028%,VOO
3626,Globe Life Inc,GL,0.0279%,VOO
3627,LKQ Corp,LKQ,0.0279%,VOO
3628,F5 Networks Inc,FFIV,0.0276%,VOO
3629,Pentair PLC,PNR,0.0276%,VOO
3630,Host Hotels & Resorts Inc,HST,0.0274%,VOO
3631,Mylan NV,MYL,0.0273%,VOO
3632,Live Nation Entertainment Inc,LYV,0.0272%,VOO
3633,DISH Network Corp,DISH,0.0264%,VOO
3634,Juniper Networks Inc,JNPR,0.0263%,VOO
3635,Quanta Services Inc,PWR,0.0262%,VOO
3636,NRG Energy Inc,NRG,0.0261%,VOO
3637,A. O. Smith Corp,AOS,0.026%,VOO
3638,L Brands Inc,LB,0.0258%,VOO
3639,News Corp,NWSA,0.0257%,VOO
3640,Cabot Oil & Gas Corp,COG,0.0254%,VOO
3641,Assurant Inc,AIZ,0.0253%,VOO
3642,Wynn Resorts Ltd,WYNN,0.0251%,VOO
3643,Howmet Aerospace Inc,HWM,0.0245%,VOO
3644,Interpublic Group of Companies Inc,IPG,0.0235%,VOO
3645,Newell Brands Inc,NWL,0.0233%,VOO
3646,DaVita Inc,DVA,0.0231%,VOO
3647,CF Industries Holdings Inc,CF,0.0231%,VOO
3648,Cash Component,CASH,0.023%,VOO
3649,Molson Coors Beverage Co,TAP,0.0228%,VOO
3650,Perrigo Company PLC,PRGO,0.0227%,VOO
3651,American Airlines Group Inc,AAL,0.0226%,VOO
3652,Mosaic Co,MOS,0.0224%,VOO
3653,Robert Half International Inc,RHI,0.022%,VOO
3654,IPG Photonics Corp,IPGP,0.022%,VOO
3655,Discovery Inc,DISCK,0.0219%,VOO
3656,Regency Centers Corp,REG,0.0218%,VOO
3657,Mohawk Industries Inc,MHK,0.0214%,VOO
3658,Sealed Air Corp,SEE,0.0213%,VOO
3659,Lincoln National Corp,LNC,0.0203%,VOO
3660,Huntington Ingalls Industries Inc,HII,0.0203%,VOO
3661,Leggett & Platt Inc,LEG,0.0197%,VOO
3662,HanesBrands Inc,HBI,0.0194%,VOO
3663,Franklin Resources Inc,BEN,0.0194%,VOO
3664,Vornado Realty Trust,VNO,0.019%,VOO
3665,Comerica Inc,CMA,0.0188%,VOO
3666,Federal Realty Investment Trust,FRT,0.0182%,VOO
3667,Nielsen Holdings PLC,NLSN,0.0182%,VOO
3668,Diamondback Energy Inc,FANG,0.018%,VOO
3669,Apartment Investment and Management Co,AIV,0.0179%,VOO
3670,Kimco Realty Corp,KIM,0.0177%,VOO
3671,Zions Bancorporation NA,ZION,0.0171%,VOO
3672,FLIR Systems Inc,FLIR,0.0168%,VOO
3673,Norwegian Cruise Line Holdings Ltd,NCLH,0.0165%,VOO
3674,Alaska Air Group Inc,ALK,0.0163%,VOO
3675,DXC Technology Co,DXC,0.0162%,VOO
3676,Fox Corp,FOX,0.0157%,VOO
3677,People's United Financial Inc,PBCT,0.0156%,VOO
3678,Invesco Ltd,IVZ,0.0156%,VOO
3679,Tapestry Inc,TPR,0.0154%,VOO
3680,PVH Corp,PVH,0.0154%,VOO
3681,Noble Energy Inc,NBL,0.015%,VOO
3682,Devon Energy Corp,DVN,0.0133%,VOO
3683,Apache Corp,APA,0.013%,VOO
3684,National Oilwell Varco Inc,NOV,0.0129%,VOO
3685,Flowserve Corp,FLS,0.0127%,VOO
3686,Discovery Inc,DISCA,0.0125%,VOO
3687,Gap Inc,GPS,0.0125%,VOO
3688,Unum Group,UNM,0.0122%,VOO
3689,SL Green Realty Corp,SLG,0.0122%,VOO
3690,Marathon Oil Corp,MRO,0.0119%,VOO
3691,Xerox Holdings Corp,XRX,0.0118%,VOO
3692,Ralph Lauren Corp,RL,0.0115%,VOO
3693,HollyFrontier Corp,HFC,0.0108%,VOO
3694,TechnipFMC PLC,FTI,0.0094%,VOO
3695,Under Armour Inc,UAA,0.0075%,VOO
3696,Under Armour Inc,UA,0.0069%,VOO
3697,Facebook Inc,FB,17.2116%,VOX
3698,Alphabet Inc,GOOG,10.9514%,VOX
3699,Alphabet Inc,GOOGL,10.6967%,VOX
3700,Verizon Communications Inc,VZ,5.5029%,VOX
3701,Comcast Corp,CMCSA,4.8516%,VOX
3702,Netflix Inc,NFLX,4.6266%,VOX
3703,Walt Disney Co,DIS,4.4666%,VOX
3704,AT&T Inc,T,4.3296%,VOX
3705,Charter Communications Inc,CHTR,3.1703%,VOX
3706,T-Mobile US Inc,TMUS,2.378%,VOX
3707,Activision Blizzard Inc,ATVI,2.215%,VOX
3708,Zillow Group Inc,Z,1.663%,VOX
3709,Electronic Arts Inc,EA,1.5148%,VOX
3710,Twitter Inc,TWTR,1.4058%,VOX
3711,Match Group Inc,MTCH,1.2585%,VOX
3712,Liberty Broadband Corp,LBRDA,1.2335%,VOX
3713,Snap Inc,SNAP,1.0338%,VOX
3714,Take-Two Interactive Software Inc,TTWO,0.9735%,VOX
3715,Pinterest Inc,PINS,0.9578%,VOX
3716,Roku Inc,ROKU,0.9138%,VOX
3717,ViacomCBS Inc,VIAC,0.8373%,VOX
3718,Discovery Inc,DISCK,0.7852%,VOX
3719,Centurylink Inc,LUMN,0.6118%,VOX
3720,Zynga Inc,ZNGA,0.5907%,VOX
3721,Liberty Media Corp,FWONK,0.573%,VOX
3722,Cable One Inc,CABO,0.5665%,VOX
3723,Gci Liberty Inc,GLIBA,0.5437%,VOX
3724,Omnicom Group Inc,OMC,0.5404%,VOX
3725,Live Nation Entertainment Inc,LYV,0.5372%,VOX
3726,Fox Corp,FOXA,0.5262%,VOX
3727,Altice USA Inc,ATUS,0.5179%,VOX
3728,Liberty Global PLC,LBTYK,0.4977%,VOX
3729,DISH Network Corp,DISH,0.478%,VOX
3730,News Corp,NWSA,0.4588%,VOX
3731,Sirius XM Holdings Inc,SIRI,0.4498%,VOX
3732,New York Times Co,NYT,0.4496%,VOX
3733,Interpublic Group of Companies Inc,IPG,0.4388%,VOX
3734,Liberty Media Corp,LSXMK,0.4107%,VOX
3735,IAC/Interactivecorp,IAC,0.406%,VOX
3736,Nexstar Media Group Inc,NXST,0.4052%,VOX
3737,Fox Corp,FOX,0.3874%,VOX
3738,Bandwidth Inc,BAND,0.371%,VOX
3739,Iridium Communications Inc,IRDM,0.367%,VOX
3740,Liberty Global PLC,LBTYA,0.3407%,VOX
3741,Liberty Media Corp,LSXMA,0.3208%,VOX
3742,Cogent Communications Holdings Inc,CCOI,0.3082%,VOX
3743,Tegna Inc,TGNA,0.2911%,VOX
3744,Madison Square Garden Sports Corp,MSGS,0.287%,VOX
3745,Vonage Holdings Corp,VG,0.2836%,VOX
3746,Shenandoah Telecommunications Co,SHEN,0.2531%,VOX
3747,Tripadvisor Inc,TRIP,0.2312%,VOX
3748,World Wrestling Entertainment Inc,WWE,0.2214%,VOX
3749,Telephone and Data Systems Inc,TDS,0.2182%,VOX
3750,CarGurus Inc,CARG,0.2163%,VOX
3751,News Corp,NWS,0.2144%,VOX
3752,Liberty Latin America Ltd,LILAK,0.1951%,VOX
3753,Cardlytics Inc,CDLX,0.195%,VOX
3754,Lions Gate Entertainment Corp,LGF.A,0.1854%,VOX
3755,Comscore Inc,SCOR,0.1792%,VOX
3756,Yelp Inc,YELP,0.1732%,VOX
3757,John Wiley & Sons Inc,JW.A,0.1684%,VOX
3758,Gray Television Inc,GTN,0.1472%,VOX
3759,Cinemark Holdings Inc,CNK,0.1314%,VOX
3760,Glu Mobile Inc,GLUU,0.1294%,VOX
3761,Madison Square Garden Entertainment Corp,MSGE,0.1263%,VOX
3762,TechTarget Inc,TTGT,0.1256%,VOX
3763,Sinclair Broadcast Group Inc,SBGI,0.122%,VOX
3764,iHeartMedia Inc,IHTM,0.1215%,VOX
3765,AMC Networks Inc,AMCX,0.1158%,VOX
3766,ANGI Homeservices Inc,ANGI,0.0918%,VOX
3767,Quinstreet Inc,QNST,0.088%,VOX
3768,Liberty Media Corp,BATRK,0.0831%,VOX
3769,Cincinnati Bell Inc,CBB,0.0821%,VOX
3770,E. W. Scripps Co,SSP,0.0744%,VOX
3771,Scholastic Corp,SCHL,0.0742%,VOX
3772,Imax Corp,IMAX,0.0727%,VOX
3773,ATN International Inc,ATNI,0.0687%,VOX
3774,Gogo Inc,GOGO,0.065%,VOX
3775,Cars.com Inc,CARS,0.065%,VOX
3776,Eventbrite Inc,EB,0.0643%,VOX
3777,Meredith Corp,MDP,0.0602%,VOX
3778,TrueCar Inc,TRUE,0.0572%,VOX
3779,Boingo Wireless Inc,WIFI,0.0496%,VOX
3780,Consolidated Communications Holdings Inc,CNSL,0.0494%,VOX
3781,United States Cellular Corp,USM,0.048%,VOX
3782,MSG Networks Inc,MSGN,0.0459%,VOX
3783,Anterix Inc,ATEX,0.0448%,VOX
3784,Clear Channel Outdoor Holdings Inc,CCO,0.0409%,VOX
3785,EverQuote Inc,EVER,0.0317%,VOX
3786,ORBCOMM Inc,ORBC,0.0317%,VOX
3787,WideOpenWest Inc,WOW,0.0311%,VOX
3788,AMC Entertainment Holdings Inc,AMC,0.0305%,VOX
3789,Boston Omaha Corp,BOMN,0.0289%,VOX
3790,Loral Space & Communications Inc,LORL,0.0262%,VOX
3791,Entercom Communications Corp,ETM,0.0234%,VOX
3792,Gannett Co Inc,GCI,0.02%,VOX
3793,Liberty Media Corp,BATRA,0.0199%,VOX
3794,National Cinemedia Inc,NCMI,0.0194%,VOX
3795,Marcus Corp,MCS,0.0194%,VOX
3796,Hemisphere Media Group Inc,HMTV,0.0185%,VOX
3797,Tribune Publishing Co,TPCO,0.0177%,VOX
3798,Liberty Tripadvisor Holdings Inc,LTRPA,0.0153%,VOX
3799,Cash Component,CASH,0.0108%,VOX
3800,Entravision Communications Corp,EVC,0.0102%,VOX
3801,Emerald Holding Inc,EEX,0.006%,VOX
3802,Reading International Inc,RDI,0.0059%,VOX
3803,Warner Music Group Corp,WMG,0.0022%,VOX
3804,Apple Inc,AAPL,5.3177%,VTI
3805,Microsoft Corp,MSFT,4.7315%,VTI
3806,Amazon.com Inc,AMZN,4.0547%,VTI
3807,Facebook Inc,FB,1.9106%,VTI
3808,Alphabet Inc,GOOG,1.373%,VTI
3809,Berkshire Hathaway Inc,BRK.B,1.1985%,VTI
3810,Alphabet Inc,GOOGL,1.1965%,VTI
3811,Johnson & Johnson,JNJ,1.1524%,VTI
3812,Procter & Gamble Co,PG,1.0082%,VTI
3813,Visa Inc,V,0.9979%,VTI
3814,NVIDIA Corp,NVDA,0.9543%,VTI
3815,Tesla Inc,TSLA,0.9418%,VTI
3816,Mastercard Inc,MA,0.9048%,VTI
3817,Home Depot Inc,HD,0.8851%,VTI
3818,UnitedHealth Group Inc,UNH,0.8796%,VTI
3819,JPMorgan Chase & Co,JPM,0.8645%,VTI
3820,Adobe Inc,ADBE,0.7235%,VTI
3821,Verizon Communications Inc,VZ,0.7196%,VTI
3822,PayPal Holdings Inc,PYPL,0.7017%,VTI
3823,Walt Disney Co,DIS,0.6912%,VTI
3824,Netflix Inc,NFLX,0.6596%,VTI
3825,Intel Corp,INTC,0.6545%,VTI
3826,Salesforce.Com Inc,CRM,0.6425%,VTI
3827,Merck & Co Inc,MRK,0.6336%,VTI
3828,Comcast Corp,CMCSA,0.6271%,VTI
3829,Pfizer Inc,PFE,0.6142%,VTI
3830,Walmart Inc,WMT,0.5937%,VTI
3831,AT&T Inc,T,0.585%,VTI
3832,Abbott Laboratories,ABT,0.568%,VTI
3833,Coca-Cola Co,KO,0.5509%,VTI
3834,PepsiCo Inc,PEP,0.55%,VTI
3835,Bank of America Corp,BAC,0.5431%,VTI
3836,Thermo Fisher Scientific Inc,TMO,0.5292%,VTI
3837,Mcdonald's Corp,MCD,0.494%,VTI
3838,Costco Wholesale Corp,COST,0.479%,VTI
3839,Nike Inc,NKE,0.473%,VTI
3840,Abbvie Inc,ABBV,0.4702%,VTI
3841,Amgen Inc,AMGN,0.4464%,VTI
3842,Exxon Mobil Corp,XOM,0.4385%,VTI
3843,Cisco Systems Inc,CSCO,0.4364%,VTI
3844,Broadcom Inc,AVGO,0.4309%,VTI
3845,Bristol-Myers Squibb Co,BMY,0.4184%,VTI
3846,Accenture PLC,ACN,0.4175%,VTI
3847,Medtronic PLC,MDT,0.4172%,VTI
3848,Nextera Energy Inc,NEE,0.4169%,VTI
3849,Chevron Corp,CVX,0.4095%,VTI
3850,Union Pacific Corp,UNP,0.4083%,VTI
3851,Danaher Corp,DHR,0.4068%,VTI
3852,Qualcomm Inc,QCOM,0.3978%,VTI
3853,Eli Lilly and Co,LLY,0.3823%,VTI
3854,Linde PLC,LIN,0.3733%,VTI
3855,Lowe's Companies Inc,LOW,0.3714%,VTI
3856,Texas Instruments Inc,TXN,0.3649%,VTI
3857,Oracle Corp,ORCL,0.3584%,VTI
3858,United Parcel Service Inc,UPS,0.3568%,VTI
3859,Philip Morris International Inc,PM,0.3443%,VTI
3860,Honeywell International Inc,HON,0.3386%,VTI
3861,American Tower Corp,AMT,0.3266%,VTI
3862,International Business Machines Corp,IBM,0.3161%,VTI
3863,Starbucks Corp,SBUX,0.3039%,VTI
3864,Advanced Micro Devices Inc,AMD,0.2931%,VTI
3865,ServiceNow Inc,NOW,0.2799%,VTI
3866,Fidelity National Information Services Inc,FIS,0.2781%,VTI
3867,3M Co,MMM,0.2769%,VTI
3868,Lockheed Martin Corp,LMT,0.2713%,VTI
3869,Boeing Co,BA,0.2661%,VTI
3870,Raytheon Technologies Corp,RTX,0.2603%,VTI
3871,Charter Communications Inc,CHTR,0.2594%,VTI
3872,Wells Fargo & Co,WFC,0.2559%,VTI
3873,S&P Global Inc,SPGI,0.2555%,VTI
3874,Citigroup Inc,C,0.2549%,VTI
3875,Intuitive Surgical Inc,ISRG,0.25%,VTI
3876,Zoom Video Communications Inc,ZM,0.245%,VTI
3877,Intuit Inc,INTU,0.245%,VTI
3878,Caterpillar Inc,CAT,0.2441%,VTI
3879,Vertex Pharmaceuticals Inc,VRTX,0.243%,VTI
3880,BlackRock Inc,BLK,0.2395%,VTI
3881,Gilead Sciences Inc,GILD,0.2351%,VTI
3882,Target Corp,TGT,0.2339%,VTI
3883,Zoetis Inc,ZTS,0.2325%,VTI
3884,CVS Health Corp,CVS,0.23%,VTI
3885,Mondelez International Inc,MDLZ,0.2295%,VTI
3886,Prologis Inc,PLD,0.2268%,VTI
3887,Stryker Corp,SYK,0.2131%,VTI
3888,Goldman Sachs Group Inc,GS,0.213%,VTI
3889,Altria Group Inc,MO,0.2121%,VTI
3890,Crown Castle International Corp,CCI,0.2097%,VTI
3891,Booking Holdings Inc,BKNG,0.2078%,VTI
3892,Equinix Inc,EQIX,0.2077%,VTI
3893,T-Mobile US Inc,TMUS,0.2068%,VTI
3894,Square Inc,SQ,0.2018%,VTI
3895,Becton Dickinson and Co,BDX,0.1973%,VTI
3896,Anthem Inc,ANTM,0.1951%,VTI
3897,Deere & Co,DE,0.194%,VTI
3898,Dominion Energy Inc,D,0.1916%,VTI
3899,Activision Blizzard Inc,ATVI,0.1916%,VTI
3900,Air Products and Chemicals Inc,APD,0.1912%,VTI
3901,Fiserv Inc,FISV,0.1905%,VTI
3902,Cigna Corp,CI,0.1895%,VTI
3903,American Express Co,AXP,0.1838%,VTI
3904,Sherwin-Williams Co,SHW,0.1836%,VTI
3905,FedEx Corp,FDX,0.1829%,VTI
3906,Colgate-Palmolive Co,CL,0.1817%,VTI
3907,Norfolk Southern Corp,NSC,0.1812%,VTI
3908,CME Group Inc,CME,0.1808%,VTI
3909,Marsh & McLennan Companies Inc,MMC,0.1808%,VTI
3910,Applied Materials Inc,AMAT,0.1806%,VTI
3911,Micron Technology Inc,MU,0.1781%,VTI
3912,TJX Companies Inc,TJX,0.1762%,VTI
3913,CSX Corp,CSX,0.1753%,VTI
3914,Regeneron Pharmaceuticals Inc,REGN,0.173%,VTI
3915,Intercontinental Exchange Inc,ICE,0.1695%,VTI
3916,Automatic Data Processing Inc,ADP,0.1692%,VTI
3917,Morgan Stanley,MS,0.169%,VTI
3918,Boston Scientific Corp,BSX,0.167%,VTI
3919,Progressive Corp,PGR,0.1648%,VTI
3920,General Electric Co,GE,0.1633%,VTI
3921,Global Payments Inc,GPN,0.1617%,VTI
3922,Duke Energy Corp,DUK,0.1604%,VTI
3923,Autodesk Inc,ADSK,0.1598%,VTI
3924,Southern Co,SO,0.1585%,VTI
3925,Humana Inc,HUM,0.1567%,VTI
3926,Ecolab Inc,ECL,0.1553%,VTI
3927,Dollar General Corp,DG,0.155%,VTI
3928,Truist Financial Corp,TFC,0.1545%,VTI
3929,Northrop Grumman Corp,NOC,0.152%,VTI
3930,Edwards Lifesciences Corp,EW,0.1519%,VTI
3931,Lam Research Corp,LRCX,0.1498%,VTI
3932,Newmont Corporation,NEM,0.147%,VTI
3933,Aon PLC,AON,0.1468%,VTI
3934,Kimberly-Clark Corp,KMB,0.1419%,VTI
3935,Illinois Tool Works Inc,ITW,0.1385%,VTI
3936,Analog Devices Inc,ADI,0.138%,VTI
3937,Illumina Inc,ILMN,0.1373%,VTI
3938,Moody's Corp,MCO,0.1369%,VTI
3939,Biogen Inc,BIIB,0.1369%,VTI
3940,Chubb Ltd,CB,0.1366%,VTI
3941,Veeva Systems Inc,VEEV,0.1363%,VTI
3942,Estee Lauder Companies Inc,EL,0.1308%,VTI
3943,Roper Technologies Inc,ROP,0.1282%,VTI
3944,Eaton Corporation PLC,ETN,0.1281%,VTI
3945,Emerson Electric Co,EMR,0.1276%,VTI
3946,Baxter International Inc,BAX,0.1258%,VTI
3947,Waste Management Inc,WM,0.1241%,VTI
3948,Uber Technologies Inc,UBER,0.1209%,VTI
3949,Charles Schwab Corp,SCHW,0.1204%,VTI
3950,DexCom Inc,DXCM,0.1189%,VTI
3951,Workday Inc,WDAY,0.1188%,VTI
3952,Digital Realty Trust Inc,DLR,0.1178%,VTI
3953,U.S. Bancorp,USB,0.1175%,VTI
3954,Dupont De Nemours Inc,DD,0.1175%,VTI
3955,L3harris Technologies Inc,LHX,0.1175%,VTI
3956,DocuSign Inc,DOCU,0.1159%,VTI
3957,General Motors Co,GM,0.1135%,VTI
3958,PNC Financial Services Group Inc,PNC,0.1132%,VTI
3959,Lululemon Athletica Inc,LULU,0.1129%,VTI
3960,Amphenol Corp,APH,0.1124%,VTI
3961,Agilent Technologies Inc,A,0.1108%,VTI
3962,TE Connectivity Ltd,TEL,0.1101%,VTI
3963,SBA Communications Corp,SBAC,0.1095%,VTI
3964,Blackstone Group Inc,BX,0.1094%,VTI
3965,Electronic Arts Inc,EA,0.1092%,VTI
3966,Twitter Inc,TWTR,0.1088%,VTI
3967,eBay Inc,EBAY,0.1087%,VTI
3968,General Mills Inc,GIS,0.1083%,VTI
3969,Cognizant Technology Solutions Corp,CTSH,0.1081%,VTI
3970,IDEXX Laboratories Inc,IDXX,0.107%,VTI
3971,Synopsys Inc,SNPS,0.1067%,VTI
3972,Sempra Energy,SRE,0.1065%,VTI
3973,CoStar Group Inc,CSGP,0.1064%,VTI
3974,Twilio Inc,TWLO,0.1059%,VTI
3975,HCA Healthcare Inc,HCA,0.1059%,VTI
3976,ConocoPhillips,COP,0.1058%,VTI
3977,Capital One Financial Corp,COF,0.1054%,VTI
3978,American Electric Power Company Inc,AEP,0.1049%,VTI
3979,Chipotle Mexican Grill Inc,CMG,0.1045%,VTI
3980,Exelon Corp,EXC,0.1032%,VTI
3981,General Dynamics Corp,GD,0.1%,VTI
3982,Johnson Controls International PLC,JCI,0.0998%,VTI
3983,Cintas Corp,CTAS,0.0996%,VTI
3984,Dow Inc,DOW,0.0983%,VTI
3985,Monster Beverage Corp,MNST,0.0982%,VTI
3986,Xcel Energy Inc,XEL,0.0978%,VTI
3987,O'Reilly Automotive Inc,ORLY,0.0965%,VTI
3988,Cadence Design Systems Inc,CDNS,0.0957%,VTI
3989,Centene Corp,CNC,0.0955%,VTI
3990,Ross Stores Inc,ROST,0.0948%,VTI
3991,Allstate Corp,ALL,0.0923%,VTI
3992,Sysco Corp,SYY,0.0912%,VTI
3993,ANSYS Inc,ANSS,0.0907%,VTI
3994,MSCI Inc,MSCI,0.0905%,VTI
3995,KLA Corp,KLAC,0.0903%,VTI
3996,Splunk Inc,SPLK,0.0897%,VTI
3997,Constellation Brands Inc,STZ,0.0876%,VTI
3998,Public Storage,PSA,0.0875%,VTI
3999,WEC Energy Group Inc,WEC,0.0869%,VTI
4000,Trane Technologies PLC,TT,0.086%,VTI
4001,Liberty Broadband Corp,LBRDA,0.0858%,VTI
4002,Match Group Inc,MTCH,0.0858%,VTI
4003,MetLife Inc,MET,0.0857%,VTI
4004,Cummins Inc,CMI,0.0856%,VTI
4005,Travelers Companies Inc,TRV,0.0845%,VTI
4006,T. Rowe Price Group Inc,TROW,0.0844%,VTI
4007,Prudential Financial Inc,PRU,0.084%,VTI
4008,Snap Inc,SNAP,0.0838%,VTI
4009,Clorox Co,CLX,0.0834%,VTI
4010,IHS Markit Ltd,INFO,0.0829%,VTI
4011,Entergy Corp,ETR,0.0827%,VTI
4012,Yum! Brands Inc,YUM,0.0826%,VTI
4013,PPG Industries Inc,PPG,0.0826%,VTI
4014,Waste Connections Inc,WCN,0.0826%,VTI
4015,IQVIA Holdings Inc,IQV,0.0824%,VTI
4016,Carrier Global Corp,CARR,0.0821%,VTI
4017,Zimmer Biomet Holdings Inc,ZBH,0.0821%,VTI
4018,Autozone Inc,AZO,0.082%,VTI
4019,Ball Corp,BLL,0.0818%,VTI
4020,Walgreens Boots Alliance Inc,WBA,0.0818%,VTI
