EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23336744
Shares Outstanding: 539100000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEM


Holding,Symbol,Weighting
China Galaxy Securities Co Ltd,601881,0.0078%
Shenzhen Expressway Co Ltd,548,0.0077%
Beijing Shiji Information Technology Co Ltd,002153,0.0076%
Anhui Kouzi Distillery Co Ltd,603589,0.0076%
Jiangxi Zhengbang Technology Co Ltd,002157,0.0076%
YUNDA Holding Co Ltd,002120,0.0076%
XL Axiata Tbk PT,EXCL,0.0075%
Venustech Group Inc,002439,0.0075%
PetroChina Co Ltd,601857,0.0075%
Offcn Education Technology Co Ltd,002607,0.0075%
Zhejiang Huahai Pharmaceutical Co Ltd,600521,0.0075%
Sichuan Kelun Pharmaceutical Co Ltd,002422,0.0074%
MCB Bank Ltd,MCB,0.0074%
Maxscend Microelectronics Co Ltd,300782,0.0074%
Nanjing King-friend Biochemical Pharmaceutical Co Ltd,603707,0.0074%
AmorePacific Corp,090435,0.0074%
Oil and Gas Development Co Ltd,OGDC,0.0073%
Inspur Electronic Information Industry Co Ltd,000977,0.0072%
Huaxin Cement Co Ltd,600801,0.0072%
Hubei Biocause Pharmaceutical Co Ltd,000627,0.0072%
Pepkor Holdings Ltd,PPH,0.0072%
Hengtong Optic-Electric Co Ltd,600487,0.0072%
Zheshang Securities Co Ltd,601878,0.0071%
Inner Mongolia Junzheng Energy & Chemical Group Co Ltd,601216,0.0071%
Suzhou Dongshan Precision Manufacturing Co Ltd,002384,0.0071%
Ace Hardware Indonesia Tbk PT,ACES,0.007%
Tianma Microelectronics Co Ltd,000050,0.007%
Sichuan Swellfun Co Ltd,600779,0.0069%
Xinjiang Goldwind Science & Technology Co Ltd,2208,0.0069%
China Eastern Airlines Corp Ltd,670,0.0069%
Nanjing Securities Co Ltd,601990,0.0069%
El Sewedy Electric Co SAE,SWDY,0.0069%
China National Software & Service Co Ltd,600536,0.0068%
Chaozhou Three-circle Group Co Ltd,300408,0.0068%
Zhejiang Century Huatong Group Co Ltd,002602,0.0068%
OFILM Group Co Ltd,002456,0.0068%
Air China Ltd,601111,0.0066%
Shanghai RAAS Blood Products Co Ltd,002252,0.0066%
China Merchants Energy Shipping Co Ltd,601872,0.0065%
NavInfo Co Ltd,002405,0.0065%
Yantai Jereh Oilfield Services Group Co Ltd,002353,0.0064%
Angang Steel Co Ltd,000898,0.0063%
SG Micro Corp,300661,0.0063%
Zhejiang Huayou Cobalt Co Ltd,603799,0.0062%
China Spacesat Co Ltd,600118,0.0062%
Zhejiang Longsheng Group Co Ltd,600352,0.0062%
China Resources Sanjiu Medical & Pharmaceutical Co Ltd,000999,0.0061%
Tonghua Dongbao Pharmaceutical Co Ltd,600867,0.0061%
Guangzhou Baiyun International Airport Co Ltd,600004,0.006%
NanJi E-Commerce Co Ltd,002127,0.006%
Ninestar Corp,002180,0.0059%
Zhejiang Wolwo Bio-Pharmaceutical Co Ltd,300357,0.0059%
DHC Software Co Ltd,002065,0.0058%
Fiberhome Telecommunication Technologies Co Ltd,600498,0.0056%
Wus Printed Circuit Kunshan Co Ltd,002463,0.0056%
Shanghai Pharmaceuticals Holding Co Ltd,601607,0.0055%
Tianqi Lithium Corp,002466,0.0055%
Aluminum Corp of China Ltd,601600,0.0054%
People's Insurance Company Group of China Ltd,601319,0.0052%
Xinhu Zhongbao Co Ltd,600208,0.0051%
360 Security Technology Inc,601360,0.0051%
Zhongji Innolight Co Ltd,300308,0.0051%
Transfar Zhilian Co Ltd,002010,0.0048%
Shanxi Meijin Energy Co Ltd,000723,0.0046%
Ningbo Joyson Electronic Corp,600699,0.0044%
Jiangxi Copper Co Ltd,600362,0.0041%
Wanda Film Holding Co Ltd,002739,0.0039%
GCL System Integration Technology Co Ltd,002506,0.0037%
FangDa Carbon New Material Co Ltd,600516,0.0021%
Dongxing Securities Co Ltd,601198,0.002%
Western Securities Co Ltd,002673,0.0015%
Oriental Pearl Group Co Ltd,600637,0.0012%
Shanghai Electric Group Co Ltd,601727,0.0011%
Shanghai Industrial Urban Development Group Ltd,563,0.0002%
ENKA Insaat ve Sanayi AS,ENKAI,0.0%
